Category,Source,Provider,Dataset/Product ID,Access/API,Coverage,Spatial Res,Temporal Res,Auth Required,Notes,Independence/Upstream
SST,OISST v2.1 (daily),NOAA NCEI,ncdc_oisst_v2_avhrr_by_time_zlev_lat_lon (ERDDAP),ERDDAP griddap,1981-09-01 to present,0.25°,Daily,No,Global blended SST analysis; robust historical coverage.,Independent of ESA CCI/HadISST
SST (alt),HadISST (monthly),UK Met Office,HadISST1,OPeNDAP/NetCDF (various),1870 to present,1°,Monthly,Free (registration may be needed),"Long climate record for cross-validation, not daily.",Independent of NOAA OISST
Chlorophyll-a,OC-CCI v6 (daily),ESA/Plymouth Marine Lab,occci_v6_daily_1km,ERDDAP (NOAA NEFSC),1997-09-04 to present,0.0104° (~1 km),Daily,No,Merged multi-sensor ocean colour CDR.,Independent of NOAA VIIRS-only
Chlorophyll-a (alt),VIIRS Kd490/Chl (science quality),NOAA CoastWatch,noaacwNPPVIIRSSQ* (various),ERDDAP griddap,2012 to present,4 km (global) / 750 m (regional),Monthly/Daily,No,Science-quality VIIRS reprocessing for clarity/chl.,Shares some upstream sensors with OC-CCI but different processing
Currents,OSCAR L4 Surface Currents (5-day),NASA PO.DAAC/ESR,OSCAR_L4_OC_third-deg,OPeNDAP/HTTP,1992-10 to present,1/3°,5-day (v2 daily),Free (Earthdata login),Satellite-derived near-surface currents.,Independent of CMEMS reanalyses
Currents (alt),Global Ocean Physics Reanalysis,Copernicus Marine (CMEMS),GLOBAL_MULTIYEAR_PHY_001_030,Copernicus Marine Python/CLI,1993-01-01 to ~present (lagged),1/12° (~8 km),Daily & Monthly,Free (account),3D T/S/velocity/SSH reanalysis.,Independent of OSCAR (model-assimilative)
Salinity/Temperature,Global Ocean Physics Reanalysis,Copernicus Marine (CMEMS),GLOBAL_MULTIYEAR_PHY_001_030,Copernicus Marine Python/CLI,1993-01-01 to ~present (lagged),1/12°,Daily & Monthly,Free (account),3D T/S for point extraction & profiles.,See above
Salinity (alt),EN4 Gridded T/S,UK Met Office,EN4,OPeNDAP/NetCDF,1900 to present,~1°,Monthly,Free,Observation-based gridded T/S for validation.,Independent of CMEMS
Dissolved Oxygen,Global BGC Hindcast,Copernicus Marine (CMEMS),GLOBAL_MULTIYEAR_BGC_001_029,Copernicus Marine Python/CLI,1993 to present,1/4°,Monthly/Daily,Free (account),"3D DO, nutrients, pH, pCO2 etc.",Independent of NOAA products
Dissolved Oxygen (alt),World Ocean Atlas (WOA18/23) DO Climatologies,NOAA NCEI,WOA,HTTP/NetCDF,"Climatological (e.g., 2005–2017)",1°/0.25°,Climatology (seasonal/annual),No,For background DO where reanalysis unavailable.,Independent of CMEMS
Bathymetry/Depth,GEBCO Gridded Bathymetry,GEBCO/BODC,GEBCO_2023/2024 grid,WMS/WCS/Download,Global static,15 arc-sec (varies),Static,No,Depth at coordinates; global.,Independent of ETOPO
Bathymetry/Depth (alt),ETOPO 2022 Global Relief,NOAA NCEI,ETOPO 2022,Download/Tile services,Global static,15 arc-sec,Static,No,Topo-bathy global DEM.,Independent of GEBCO
Waves/Sea State,NOAA WaveWatch III Reanalysis,NOAA NCEP,Global Hindcast,NOMADS/THREDDS/GRIB2,1979 to present,~0.5° (varies),Hourly/3-hourly,No,"Significant wave height, period, wind-sea, swell.",Independent of ERA5 Waves
Waves (alt),ERA5 Waves,ECMWF/C3S,reanalysis-era5-single-levels (wave vars),CDS API,1979 to present,0.25°,Hourly,Free (account),Global wave parameters; robust archive.,Independent of NCEP WaveWatch
MPAs,World Database on Protected Areas (Marine subset),UNEP-WCMC/IUCN,WDPA,Shapefile/API (Protected Planet),Global,Vector,Static/updated monthly,Free (license restrictions),Marine protected areas overlay.,Independent
Zones,Exclusive Economic Zones (EEZ),Marine Regions,EEZ v12,Shapefile/WFS,Global,Vector,Static/periodic updates,No,For jurisdictional context & coastal proximity.,Independent
Biogeography (coastal),MEOW - Marine Ecoregions of the World,TNC/WWF et al.,MEOW,Shapefile/GeoJSON,Global coasts & shelves,Vector,Static,No,Hierarchical realms/provinces/ecoregions.,Independent of Longhurst
Biogeography (pelagic),PPOW - Pelagic Provinces of the World,Spalding et al. 2012,PPOW 2012,Shapefile/GeoJSON,Global off-shelf,Vector,Static,No,Pelagic biogeographic provinces.,Independent of MEOW
Biogeography (alt),Longhurst Provinces,Longhurst,Longhurst,Shapefile,Global oceans,Vector,Static,No,Common ocean biogeographic scheme.,Independent of MEOW/PPOW
Currents/Winds (in-situ),NDBC Buoy Network (waves/wind/SST),NOAA NDBC,Station archives,HTTP/ERDDAP (various),1970s to present (station dependent),Point,10 min–hourly,No,Nearshore validation for waves/SST.,In-situ
