Category,Source,Provider,Dataset/Product ID,Access/API,Coverage,Spatial Res,Temporal Res,Auth Required,Access Mode,Schema Slots,Priority,Notes,Independence/Upstream
SST,OISST v2.1 (daily),NOAA NCEI,ncdc_oisst_v2_avhrr_by_time_zlev_lat_lon (ERDDAP),ERDDAP griddap,1981-09-01 to present,0.25°,Daily,No,API/On-demand,"temp, sampleCollectionTemperature",HIGHEST,Global blended SST analysis; robust historical coverage; perfect for point queries.,Independent of ESA CCI/HadISST
SST (alt),HadISST (monthly),UK Met Office,HadISST1,OPeNDAP/NetCDF (various),1870 to present,1°,Monthly,Free (registration may be needed),Small Download,Validation source,HIGH,"Long climate record for cross-validation, not daily; lightweight monthly files.",Independent of NOAA OISST
Chlorophyll-a,OC-CCI v6 (daily),ESA/Plymouth Marine Lab,occci_v6_daily_1km,ERDDAP (NOAA NEFSC),1997-09-04 to present,0.0104° (~1 km),Daily,No,API/On-demand,chlorophyll,HIGHEST,Merged multi-sensor ocean colour CDR; ideal for point sampling via ERDDAP.,Independent of NOAA VIIRS-only
Chlorophyll-a (alt),VIIRS Kd490/Chl (science quality),NOAA CoastWatch,noaacwNPPVIIRSSQ* (various),ERDDAP griddap,2012 to present,4 km (global) / 750 m (regional),Monthly/Daily,No,API/On-demand,chlorophyll,HIGH,Science-quality VIIRS reprocessing for clarity/chl; great point query performance.,Shares some upstream sensors with OC-CCI but different processing
Currents,OSCAR L4 Surface Currents (5-day),NASA PO.DAAC/ESR,OSCAR_L4_OC_third-deg,OPeNDAP/HTTP,1992-10 to present,1/3°,5-day (v2 daily),Free (Earthdata login),API/On-demand,New: ocean_velocity_u/v,MEDIUM,Satellite-derived near-surface currents; excellent OPeNDAP point access.,Independent of CMEMS reanalyses
Currents (alt),Global Ocean Physics Reanalysis,Copernicus Marine (CMEMS),GLOBAL_MULTIYEAR_PHY_001_030,Copernicus Marine Python/CLI,1993-01-01 to ~present (lagged),1/12° (~8 km),Daily & Monthly,Free (account),API/On-demand,"salinity, salinityConcentration, New: currents",HIGH,3D T/S/velocity/SSH reanalysis; efficient point extraction via Copernicus client.,Independent of OSCAR (model-assimilative)
Salinity/Temperature,Global Ocean Physics Reanalysis,Copernicus Marine (CMEMS),GLOBAL_MULTIYEAR_PHY_001_030,Copernicus Marine Python/CLI,1993-01-01 to ~present (lagged),1/12°,Daily & Monthly,Free (account),API/On-demand,"salinity, salinityConcentration, sampleCollectionTemperature",HIGH,3D T/S for point extraction & profiles; handles complex marine T/S structure.,See above
Salinity (alt),EN4 Gridded T/S,UK Met Office,EN4,OPeNDAP/NetCDF,1900 to present,~1°,Monthly,Free,Small Download,Validation source,MEDIUM,Observation-based gridded T/S for validation; modest monthly file sizes.,Independent of CMEMS
Dissolved Oxygen,Global BGC Hindcast,Copernicus Marine (CMEMS),GLOBAL_MULTIYEAR_BGC_001_029,Copernicus Marine Python/CLI,1993 to present,1/4°,Monthly/Daily,Free (account),API/On-demand,"diss_oxygen, oxygenConcentration, ph",HIGH,"3D DO, nutrients, pH, pCO2 etc.; comprehensive marine biogeochemistry.",Independent of NOAA products
Dissolved Oxygen (alt),World Ocean Atlas (WOA18/23) DO Climatologies,NOAA NCEI,WOA,HTTP/NetCDF,"Climatological (e.g., 2005–2017)",1°/0.25°,Climatology (seasonal/annual),No,Small Download,Validation source,MEDIUM,For background DO where reanalysis unavailable; parameter-specific moderate size files.,Independent of CMEMS
Bathymetry/Depth,GEBCO Gridded Bathymetry,GEBCO/BODC,GEBCO_2023/2024 grid,WMS/WCS/Download,Global static,15 arc-sec (varies),Static,No,API/On-demand (WCS) | Large Dataset (full),"tot_depth_water_col, depthInMeters, elev",HIGHEST,Depth at coordinates; use WCS for point queries to avoid multi-GB download.,Independent of ETOPO
Bathymetry/Depth (alt),ETOPO 2022 Global Relief,NOAA NCEI,ETOPO 2022,Download/Tile services,Global static,15 arc-sec,Static,No,API/On-demand (tiles) | Large Dataset (full),Validation source,MEDIUM,Topo-bathy global DEM; use tile services for point queries.,Independent of GEBCO
